Date,A,AA,ABC,ABCB,ACLS,ACNB,ADBE,ADP,AEG,AIR
2008-10-30,16.11587905883789,27.51435089111328,15.09000015258789,10.241920471191406,1.559999942779541,12.5,26.86000061035156,28.91132545471192,3.890000104904175,14.300000190734863
2008-10-31,15.872674942016602,27.63450050354004,15.635000228881836,10.737967491149902,1.7599999904632568,12.050000190734863,26.63999938964844,30.68481063842773,4.110000133514404,15.989999771118164
2008-11-03,16.45207405090332,28.54763984680176,15.675000190734863,11.049212455749512,2.039999961853028,12.050000190734863,27.15999984741211,29.2098331451416,3.950000047683716,16.389999389648438
2008-11-04,17.625179290771484,29.965410232543945,15.664999961853027,10.942222595214844,2.0,12.75,29.15999984741211,31.808603286743164,4.889999866485596,16.959999084472656
2008-11-05,16.63805389404297,28.35540008544922,15.460000038146973,10.183561325073242,2.039999961853028,12.5,27.21999931335449,30.43020248413086,4.889999866485596,15.899999618530272
2008-11-06,15.329041481018066,24.6547794342041,15.06999969482422,10.378089904785156,2.359999895095825,12.5,24.559999465942383,30.13169479370117,4.820000171661377,14.449999809265137
2008-11-07,15.62231731414795,26.88957023620605,15.125,10.650429725646973,2.880000114440918,13.100000381469728,24.59000015258789,31.10623359680176,5.590000152587891,14.720000267028809
2008-11-10,15.529327392578123,28.30734062194824,15.1850004196167,9.599976539611816,2.759999990463257,13.199999809265137,24.93000030517578,31.211589813232425,5.369999885559082,15.34000015258789
2008-11-11,14.978540420532228,26.28882026672364,14.6850004196167,10.10575008392334,2.400000095367432,13.100000381469728,23.63999938964844,30.71993064880371,5.010000228881836,15.130000114440918
2008-11-12,13.855507850646973,24.43851089477539,14.239999771118164,7.586607456207275,2.240000009536743,13.100000381469728,21.88999938964844,29.7629508972168,4.679999828338623,13.81999969482422
2008-11-13,15.0,26.91360092163086,15.145000457763672,9.094202041625977,2.400000095367432,13.100000381469728,24.299999237060547,32.11589050292969,5.159999847412109,15.289999961853027
2008-11-14,14.842632293701172,26.048519134521484,14.989999771118164,8.452259063720703,2.4800000190734863,12.75,22.34000015258789,30.83406448364257,4.800000190734863,14.43000030517578
2008-11-17,13.676680564880373,23.23700904846192,15.21500015258789,8.792683601379395,2.799999952316284,12.75,22.799999237060547,30.579456329345703,4.300000190734863,14.75
